"age","mid","W_RM","W_RF","W_UM","W_UF","C_RM","C_RF","C_UM","C_UF"
"0-4",2,15.5,12.2,14.1,11.2,24.1,20.3,28.7,25.1
"5-9",7,1.2,1,1,0.7,1.5,1.4,1.8,1.2
"10-14",12,1,0.7,0.9,0.3,1.9,1.7,2,1.4
"15-19",17,2.1,1.6,1.2,0.8,3.8,3.8,4.4,4.6
"20-24",22,3.5,1.9,1.6,1.4,5.7,7,7.2,5.4
"25-29",27,3.4,2.3,2.1,1.6,8.9,7.5,8.4,7.7
"30-34",32,4,2.8,3,2,9.7,7.9,12.6,8.7
"35-39",37,5.1,3.5,4.6,2.8,12.8,11,13.9,9.7
"40-44",42,6.4,3.8,6.1,4.1,17.1,14.4,17.2,15.2
"45-49",47,8.1,5.9,10.8,5.3,21.9,16.6,25.1,19.8
"50-54",52,11.7,8.7,15.4,8.4,30.1,25.4,37.3,33.4
"55-59",57,18.1,11.7,24.3,13.6,38.9,36.2,49.8,43.4
"60-64",62,26.9,20.3,37,19.3,48.4,46.3,60.5,61.7
"65-69",67,41,30.9,54.6,35.1,57.4,47.5,53.7,51.8
"70-74",72,66,54.3,71.1,50,77.1,60.2,76,61.5
"75+",80,146.8,136.8,146.5,131.9,118.8,98.2,93.5,73.6
